FULLPOLICY_NB,CustomerID,Year,POLICYEFFECTIVE_DT,ACCOUNTING_MONTH,INSUREDITEM_TP,POLICYRATEDSTATE_TP,RATEDCOUNTY_TP,ZIP,HAZARD_SCORE,INTEGRATEDCOVERAGE_TP,PROPERTYCOVERAGESUBTYPE_TP,CONSTRUCTION_TP,ROOF_TP,DWELLINGSQUAREFEET_CT,DWELLINGSTORY_CT,HOME_AGE_YR,HAS_MORTGAGE,RATEDINSUREDAGE_CT,MERITPOINT_CT,CREDITMODEL_CD,AGENT_CHANNEL,DIRECTWRITTENPREMIUM_AM,EARNEDPREMIUM_AM,TAX_AM,COMMISSION_EXPENSE_AM,ADMIN_EXPENSE_AM,PPCVRGLIMIT_AM,GROSSLOSSPAIO_AM,CLAIMCOUNT_CT,EARNEDEXPOSURE_CT,WRITENEXPOSURE_CT,POLICYTERM_CT,SEASONAL_IN,MULTIPRODUCTDISCOUNT_FLAG,DelequencyFlag,DiscountRate,New_Existing_Recurring_Flag,NETLOSS_PAID_AM,POLICY_RENEWED_FLAG,CustomerTenure,IncomeBracket,CoverageAmount,Deductible,CustomerSatisfaction,ComplaintCount,PaymentMethod,PaymentDelayDays,MarketingChannel,AgentExperienceYears,PropertyValue,HouseholdIncome,CreditScore
501486,CUST001486,2021,2021-11-13,2021-11-30,Home,TX,D,78701,37.39,N,Basic,Masonry,Shingle,1467,1,33,0,35,1,B,Independent,670.44,662.91,46.93,80.45,102.17,152650,0.0,0,0.97,1.0,12,0,0,0,0.0439,New,0.0,1,1,Middle,152650,1500,4,0,Bank Transfer,4,Online Search,5,209893,69190,686
501487,CUST001487,2021,2021-09-08,2022-01-31,Home,FL,A,33101,55.53,Y,Standard,Mixed,Metal,2530,2,8,0,51,0,A,Direct,3310.61,3540.99,281.4,99.32,220.98,626620,0.0,0,1.039,1.0,12,1,0,0,0.073,New,0.0,1,1,High,626620,1000,4,0,Credit Card,0,Online Search,4,617680,173693,791
501488,CUST001488,2021,2021-09-25,2022-03-31,Rental,CA,A,95814,68.94,N,Basic,Frame,Shingle,1252,2,42,1,44,0,B,Independent,2316.82,2020.22,162.18,278.02,176.26,359613,0.0,0,0.893,1.0,12,1,0,0,0.0699,New,0.0,1,1,Middle,359613,1000,4,0,Debit Card,1,Online Search,7,499532,68521,697
501489,CUST001489,2021,2021-02-27,2021-04-30,Rental,CA,B,94105,53.88,Y,Basic,Frame,Shingle,1204,1,23,1,44,0,B,Independent,2086.97,2024.75,146.09,250.44,165.91,416209,0.0,0,0.987,1.0,12,0,1,0,0.1002,New,0.0,1,1,Upper Middle,416209,1000,4,0,Credit Card,3,Agent Referral,7,513529,98412,720
501490,CUST001490,2021,2021-05-18,2021-10-31,Rental,TX,D,73301,37.82,Y,Premium,Mixed,Shingle,2016,1,14,0,64,0,A,Broker,1179.41,1136.52,82.56,176.91,125.07,313060,0.0,0,0.958,1.0,12,0,1,0,0.084,New,0.0,1,1,Upper Middle,313060,1000,5,0,Credit Card,2,Social Media,2,266810,140539,800
501491,CUST001491,2021,2021-12-16,2022-03-31,Rental,CA,A,92101,66.65,N,Basic,Frame,Shingle,1670,2,36,1,48,0,B,Independent,2657.9,2207.07,186.05,318.95,191.61,445334,0.0,0,0.832,1.0,12,0,0,0,0.0757,New,0.0,0,1,Middle,445334,2000,5,0,Credit Card,2,Online Search,7,646450,79395,696
501492,CUST001492,2021,2021-01-01,2021-03-31,Home,CA,D,90001,45.13,N,Basic,Mixed,Shingle,1515,1,41,0,60,2,C,Broker,2492.92,2618.02,174.5,373.94,184.18,409615,0.0,0,1.05,1.0,12,0,1,1,0.0908,New,0.0,1,1,Middle,409615,500,4,0,Debit Card,5,Email Campaign,4,618776,53977,637
501493,CUST001493,2021,2021-01-13,2021-03-31,Condo,WA,D,98501,6.0,Y,Basic,Masonry,Metal,1301,1,22,0,52,0,B,Broker,674.03,695.19,47.18,101.1,102.33,317810,0.0,0,1.041,1.0,12,0,1,0,0.1167,New,0.0,0,1,Upper Middle,317810,5000,4,0,Auto Debit,0,Agent Referral,7,409375,93477,684
501494,CUST001494,2021,2021-06-13,2022-04-30,Home,CA,C,92101,60.78,Y,Basic,Frame,Tile,1814,3,45,1,40,0,C,Online,3352.43,3332.29,234.67,67.05,222.86,560313,93242.26,1,1.015,1.0,12,1,0,0,0.1061,New,91402.26,1,1,Upper Middle,560313,2000,4,1,Bank Transfer,3,Online Search,7,705181,120155,629
501495,CUST001495,2021,2021-03-20,2021-08-31,Rental,CA,D,90001,52.99,Y,Standard,Frame,Tile,1618,2,43,1,44,1,C,Independent,3956.75,3665.62,276.97,474.81,250.05,619582,70068.42,2,0.908,1.0,12,0,0,0,0.0877,New,66388.42,0,1,Upper Middle,619582,2000,3,0,Debit Card,1,Online Search,14,641496,100917,668
501496,CUST001496,2021,2021-02-10,2021-02-28,Condo,CA,A,94105,65.31,Y,Basic,Frame,Shingle,1447,1,20,0,50,0,B,Online,2634.39,2528.99,184.41,52.69,190.55,467704,26673.12,1,0.468,0.5,6,0,0,1,0.0721,New,25753.12,0,1,Upper Middle,467704,1000,3,1,Credit Card,9,Agent Referral,3,572337,126016,729
501497,CUST001497,2021,2021-03-16,2021-11-30,Home,NY,B,14604,29.98,Y,Premium,Masonry,Shingle,2788,3,20,0,45,0,A,Independent,4347.02,4459.27,304.29,521.64,267.62,1381180,0.0,0,1.018,1.0,12,0,0,0,0.0526,New,0.0,1,1,Low,1381180,500,4,0,Bank Transfer,1,Agent Referral,9,1256422,49179,737
501498,CUST001498,2021,2021-09-12,2021-12-31,Home,FL,D,33101,41.34,Y,Standard,Masonry,Tile,2981,2,55,0,51,0,B,Independent,3995.21,3887.97,339.59,479.43,251.78,630004,24063.97,2,0.97,1.0,12,1,0,0,0.056,New,21303.97,1,1,Upper Middle,630004,1500,3,0,Credit Card,2,Agent Referral,11,674250,105863,708
501499,CUST001499,2021,2021-04-03,2021-06-30,Condo,CA,C,92101,50.28,Y,Premium,Masonry,Metal,1532,1,37,1,54,0,C,Independent,2948.1,2909.1,206.37,353.77,204.66,542823,0.0,0,0.992,1.0,12,0,0,0,0.073,New,0.0,1,1,Low,542823,2000,4,0,Auto Debit,0,Email Campaign,7,496768,47077,667
501500,CUST001500,2021,2021-08-16,2021-11-30,Condo,FL,A,33601,41.58,N,Standard,Mixed,Metal,1420,1,6,1,41,0,C,Direct,1712.69,1731.11,145.58,51.38,149.07,293345,24516.79,1,0.999,1.0,12,1,1,0,0.1236,New,23596.79,1,1,Low,293345,1000,3,1,Debit Card,1,Aggregator,4,345524,47162,661
501501,CUST001501,2021,2021-01-12,2021-08-31,Home,FL,B,33301,62.14,Y,Premium,Frame,Metal,1398,1,38,0,56,0,B,Independent,2006.06,1863.85,170.51,240.73,162.27,314617,17889.51,2,0.952,1.0,12,0,0,1,0.0726,New,14209.51,0,1,Upper Middle,314617,2000,3,1,Debit Card,5,Social Media,10,281940,104709,695
501502,CUST001502,2021,2021-07-05,2021-07-31,Home,NY,D,11201,24.43,N,Standard,Mixed,Metal,2247,2,39,1,26,0,A,Independent,2376.94,2514.57,166.39,285.23,178.96,924446,0.0,0,0.528,0.5,6,1,1,0,0.0942,New,0.0,0,1,High,924446,1000,4,1,Bank Transfer,3,Partner Referral,10,1127892,180604,749
501503,CUST001503,2021,2021-03-09,2021-10-31,Rental,CA,A,95814,60.29,N,Standard,Masonry,Shingle,2399,1,38,1,31,0,C,Broker,4655.51,4219.69,325.89,698.33,281.5,714599,86271.21,2,0.925,1.0,12,0,0,0,0.0693,New,83511.21,1,1,Low,714599,1500,3,1,Auto Debit,2,Online Search,2,859897,39915,643
501504,CUST001504,2021,2021-06-01,2021-12-31,Rental,FL,C,32801,54.35,N,Standard,Masonry,Tile,1429,2,11,1,40,0,B,Direct,1851.36,1850.32,157.37,55.54,155.31,299301,21534.4,1,0.989,1.0,12,1,0,0,0.0842,New,20154.4,1,1,Middle,299301,1500,3,2,Bank Transfer,4,Partner Referral,2,332962,65167,680
501505,CUST001505,2021,2021-07-16,2022-03-31,Condo,WA,A,99201,48.82,N,Standard,Mixed,Shingle,1656,1,41,1,32,0,C,Independent,1959.48,1969.71,137.16,235.14,160.18,435035,0.0,0,1.011,1.0,12,1,0,0,0.0434,New,0.0,1,1,Middle,435035,500,4,0,Auto Debit,1,Online Search,10,524140,74135,676
501506,CUST001506,2021,2021-08-01,2022-01-31,Home,WA,B,98101,30.93,N,Basic,Frame,Shingle,1961,2,27,1,23,0,A,Online,1209.98,1196.85,84.7,24.2,126.45,417268,0.0,0,0.979,1.0,12,1,0,0,0.0793,New,0.0,1,1,Middle,417268,1500,4,0,Auto Debit,0,Email Campaign,9,601713,67008,755
501507,CUST001507,2021,2021-01-03,2021-04-30,Rental,CA,D,95814,38.63,Y,Standard,Frame,Metal,1878,1,26,1,24,0,B,Independent,3066.55,3006.93,214.66,367.99,209.99,698212,0.0,0,0.98,1.0,12,0,1,0,0.0968,New,0.0,1,1,Middle,698212,500,4,0,Bank Transfer,5,Online Search,7,703971,67050,715
501508,CUST001508,2021,2021-05-13,2021-08-31,Home,FL,D,32801,34.14,Y,Basic,Masonry,Metal,1907,2,20,1,40,0,C,Online,2371.41,2467.16,201.57,47.43,178.71,376837,0.0,0,1.05,1.0,12,0,0,0,0.1103,New,0.0,1,1,Middle,376837,2000,4,1,Bank Transfer,3,Social Media,4,473744,73623,668
501509,CUST001509,2021,2021-01-09,2021-01-31,Rental,TX,C,77001,47.49,Y,Basic,Mixed,Metal,1476,1,9,1,43,0,B,Independent,667.94,661.57,46.76,80.15,102.06,179296,0.0,0,0.988,1.0,12,0,0,0,0.0959,New,0.0,1,1,Middle,179296,2000,5,0,Bank Transfer,1,Email Campaign,4,226101,55553,720
501510,CUST001510,2021,2021-01-06,2021-07-31,Rental,CA,B,92101,50.97,Y,Basic,Frame,Metal,1761,2,23,1,23,0,C,Direct,2716.79,2739.16,190.18,81.5,194.26,494067,12835.56,1,0.994,1.0,12,0,1,0,0.1309,New,10995.56,1,1,Upper Middle,494067,2000,3,2,Credit Card,2,Online Search,7,677643,93023,656
501511,CUST001511,2021,2021-04-05,2021-09-30,Home,FL,C,33101,42.09,Y,Basic,Masonry,Shingle,1986,2,25,1,44,2,D,Independent,3670.04,3575.9,311.95,440.4,237.15,435096,0.0,0,0.992,1.0,12,0,1,1,0.114,New,0.0,0,1,Low,435096,2000,4,0,Debit Card,4,Partner Referral,8,511609,43573,574
501512,CUST001512,2021,2021-02-17,2021-11-30,Condo,NY,B,14604,27.88,N,Standard,Mixed,Tile,1682,1,30,0,66,0,D,Online,2952.03,2834.3,206.64,59.04,204.84,629281,0.0,0,0.967,1.0,12,0,0,1,0.0622,New,0.0,1,1,Middle,629281,500,4,0,Credit Card,6,Online Search,1,755831,57385,591
501513,CUST001513,2021,2021-01-01,2021-01-31,Condo,TX,C,77001,29.84,N,Standard,Masonry,Metal,1157,1,23,0,59,1,B,Direct,459.1,439.64,32.14,13.77,92.66,134061,0.0,0,0.943,1.0,12,0,0,0,0.0959,New,0.0,1,1,Middle,134061,5000,5,0,Credit Card,0,Online Search,6,165037,51435,684
501514,CUST001514,2021,2021-05-01,2021-08-31,Home,NY,A,12207,31.65,Y,Standard,Mixed,Metal,1201,1,23,1,56,0,B,Direct,1974.79,1798.52,138.24,59.24,160.87,634492,0.0,0,0.902,1.0,12,0,1,0,0.1196,New,0.0,1,1,Upper Middle,634492,500,5,0,Auto Debit,1,Aggregator,8,673375,148878,691
501515,CUST001515,2021,2021-02-15,2021-07-31,Home,WA,D,98101,24.49,N,Standard,Masonry,Shingle,2630,2,27,1,23,1,B,Broker,2445.63,2504.51,171.19,366.84,182.05,731978,0.0,0,1.005,1.0,12,0,1,0,0.1372,New,0.0,1,1,Middle,731978,2000,4,0,Auto Debit,0,Online Search,8,898406,56025,696
501516,CUST001516,2021,2021-04-22,2022-02-28,Home,NY,C,12207,25.65,Y,Basic,Masonry,Tile,2479,2,27,0,34,0,A,Independent,2388.03,2407.01,167.16,286.56,179.46,939329,0.0,0,1.014,1.0,12,0,1,0,0.1345,New,0.0,1,1,Upper Middle,939329,2000,5,0,Auto Debit,1,Aggregator,9,1148413,134470,785
501517,CUST001517,2021,2021-11-01,2022-08-31,Rental,FL,C,32801,61.29,Y,Basic,Mixed,Tile,1172,1,32,1,51,0,C,Online,1668.06,1526.09,141.78,33.36,147.06,214099,0.0,0,0.921,1.0,12,0,0,0,0.0833,New,0.0,1,1,Middle,214099,1000,4,0,Credit Card,1,Agent Referral,5,269121,57315,620
501518,CUST001518,2021,2021-03-17,2021-11-30,Rental,TX,C,77001,42.61,N,Premium,Masonry,Shingle,1578,1,40,0,61,1,B,Direct,1058.53,972.74,74.1,31.76,119.63,233843,0.0,0,0.926,1.0,12,0,0,0,0.0675,New,0.0,1,1,Upper Middle,233843,500,5,0,Credit Card,0,Social Media,4,244431,100587,725
501519,CUST001519,2021,2021-09-22,2022-03-31,Home,NY,A,12207,38.21,Y,Standard,Frame,Shingle,2595,2,25,1,48,0,B,Online,4398.86,3819.61,307.92,87.98,269.95,1145271,43322.14,1,0.894,1.0,12,1,1,0,0.1015,New,42402.14,1,1,Middle,1145271,1000,4,2,Credit Card,1,Online Search,1,1180417,59933,683
501520,CUST001520,2021,2021-11-02,2021-12-31,Home,WA,A,98501,40.52,Y,Premium,Frame,Shingle,850,1,31,1,50,0,A,Broker,913.87,876.99,63.97,137.08,113.12,274533,19946.84,1,0.948,1.0,12,0,1,0,0.0874,New,19026.84,0,1,Upper Middle,274533,1000,5,0,Auto Debit,0,Aggregator,10,263252,126147,763
501521,CUST001521,2021,2021-08-15,2022-01-31,Home,WA,D,98004,32.58,N,Premium,Frame,Tile,1452,1,33,1,47,0,A,Independent,1262.64,1184.29,88.39,151.52,128.82,446459,7561.72,1,0.922,1.0,12,1,1,0,0.089,New,7101.72,1,1,Upper Middle,446459,500,4,2,Credit Card,5,Online Search,8,450975,135649,757
501522,CUST001522,2021,2021-02-22,2021-05-31,Home,WA,B,98004,19.51,Y,Premium,Masonry,Shingle,2053,2,7,0,59,0,B,Independent,2481.5,2188.43,173.7,297.78,183.67,810840,0.0,0,0.898,1.0,12,0,0,0,0.0621,New,0.0,1,1,Upper Middle,810840,1000,4,0,Debit Card,3,Social Media,12,705182,96516,724
501523,CUST001523,2021,2021-07-16,2022-02-28,Home,NY,D,10001,36.93,Y,Standard,Frame,Metal,2592,1,48,1,49,0,B,Direct,3637.18,3544.29,254.6,109.12,235.67,1118749,0.0,0,0.984,1.0,12,1,1,1,0.1449,New,0.0,1,1,Middle,1118749,2500,5,0,Auto Debit,2,Partner Referral,6,1175866,54257,694
501524,CUST001524,2021,2021-06-24,2021-11-30,Home,CA,B,90001,52.93,N,Basic,Mixed,Shingle,1938,2,57,1,46,0,C,Online,2871.98,2803.22,201.04,57.44,201.24,496377,50599.44,1,0.986,1.0,12,1,1,0,0.1176,New,49679.44,0,1,Middle,496377,1000,3,0,Debit Card,3,Aggregator,5,701590,75918,660
501525,CUST001525,2021,2021-01-20,2021-04-30,Home,TX,A,79901,38.47,Y,Standard,Masonry,Metal,2254,1,37,0,68,1,A,Broker,1063.14,1050.07,74.42,159.47,119.84,325332,0.0,0,0.492,0.5,6,0,1,0,0.0887,New,0.0,1,1,Middle,325332,500,4,1,Bank Transfer,3,Agent Referral,9,327631,79509,745
501526,CUST001526,2021,2021-06-23,2021-11-30,Home,CA,A,94105,60.73,N,Standard,Frame,Tile,1619,2,33,1,49,0,D,Online,3691.37,3568.02,258.4,73.83,238.11,601375,0.0,0,0.956,1.0,12,1,1,0,0.1024,New,0.0,1,1,Middle,601375,500,5,0,Auto Debit,1,Email Campaign,6,686379,56569,575
501527,CUST001527,2021,2021-05-11,2022-01-31,Home,FL,D,33101,42.09,Y,Standard,Masonry,Metal,1654,2,38,0,38,1,B,Independent,2045.05,2065.77,173.83,245.41,164.03,349522,39512.72,2,1.018,1.0,12,0,1,0,0.0905,New,38592.72,1,1,Middle,349522,500,4,1,Auto Debit,0,Social Media,5,368950,74490,682
501528,CUST001528,2021,2021-06-10,2021-08-31,Home,TX,B,77001,39.52,Y,Basic,Mixed,Shingle,2741,1,35,1,49,0,B,Independent,1413.73,1429.27,98.96,169.65,135.62,342928,0.0,0,1.05,1.0,12,1,0,0,0.0536,New,0.0,0,1,Upper Middle,342928,500,4,0,Debit Card,0,Online Search,11,408867,113367,726
501529,CUST001529,2021,2021-05-22,2022-01-31,Condo,CA,D,94105,44.92,Y,Premium,Mixed,Metal,1389,1,44,1,50,0,D,Online,3653.53,3542.37,255.75,73.07,236.41,575872,18921.67,1,0.972,1.0,12,0,0,1,0.096,New,17081.67,1,1,Low,575872,2000,3,0,Auto Debit,7,Social Media,4,506097,43582,527
501530,CUST001530,2021,2021-10-01,2021-11-30,Home,FL,A,32801,61.51,Y,Basic,Frame,Tile,1991,2,14,1,33,2,D,Direct,3279.33,3282.12,278.74,98.38,219.57,360297,0.0,0,0.968,1.0,12,0,1,1,0.127,New,0.0,1,1,Middle,360297,1000,4,0,Credit Card,3,Online Search,8,447900,50190,581
501531,CUST001531,2021,2021-12-27,2022-09-30,Home,CA,D,90001,37.92,N,Premium,Mixed,Tile,2752,1,22,0,67,0,A,Independent,4391.63,4262.11,307.41,527.0,269.62,1128849,0.0,0,0.995,1.0,12,0,0,0,0.0418,New,0.0,0,1,Upper Middle,1128849,1000,4,0,Bank Transfer,2,Agent Referral,5,1232922,133028,820
501532,CUST001532,2021,2021-03-12,2021-04-30,Condo,TX,C,73301,30.91,N,Premium,Masonry,Tile,1721,1,12,1,44,2,B,Independent,732.97,736.09,51.31,87.96,104.98,223664,0.0,0,0.994,1.0,12,0,1,0,0.1203,New,0.0,0,1,Upper Middle,223664,2500,4,0,Auto Debit,0,Agent Referral,1,243828,143044,699
501533,CUST001533,2021,2021-09-10,2022-02-28,Home,TX,B,78701,28.45,Y,Standard,Masonry,Tile,1980,3,39,1,59,0,C,Independent,1150.59,1104.16,80.54,138.07,123.78,277847,0.0,0,0.968,1.0,12,1,0,0,0.0995,New,0.0,0,1,Middle,277847,2500,4,0,Auto Debit,1,Agent Referral,7,290695,65194,652
501534,CUST001534,2021,2021-02-13,2021-06-30,Home,CA,D,92101,30.69,N,Standard,Masonry,Tile,1219,2,11,1,48,0,C,Online,1719.2,1629.57,120.34,34.38,149.36,410677,0.0,0,0.462,0.5,6,0,0,0,0.1108,New,0.0,1,1,Middle,410677,2000,4,0,Auto Debit,0,Email Campaign,7,489011,65372,637
501535,CUST001535,2021,2021-02-23,2021-10-31,Condo,WA,C,99201,29.94,Y,Standard,Frame,Metal,1281,1,13,0,50,0,B,Online,1060.14,1000.11,74.21,21.2,119.71,373369,0.0,0,0.965,1.0,12,0,1,0,0.1477,New,0.0,1,1,High,373369,2000,5,0,Credit Card,0,Aggregator,2,379956,163621,691
501536,CUST001536,2021,2021-11-20,2022-04-30,Home,FL,A,33101,58.36,Y,Premium,Masonry,Shingle,1729,2,10,1,43,1,C,Independent,3784.01,3580.4,321.64,454.08,242.28,452137,32247.07,1,0.959,1.0,12,0,0,0,0.0577,New,31327.07,0,1,Low,452137,1000,4,1,Debit Card,5,Partner Referral,8,399221,26370,639
501537,CUST001537,2021,2021-08-08,2022-02-28,Home,CA,A,90001,51.88,N,Premium,Frame,Metal,2599,1,54,0,23,0,A,Independent,4860.27,4648.7,340.22,583.23,290.71,1072266,0.0,0,0.962,1.0,12,1,0,0,0.0603,New,0.0,1,1,Upper Middle,1072266,1000,4,0,Auto Debit,0,Partner Referral,7,1124702,147196,794
501538,CUST001538,2021,2021-10-27,2022-03-31,Home,NY,C,11201,40.49,Y,Basic,Frame,Metal,1454,1,35,0,74,0,B,Online,1951.09,1756.49,136.58,39.02,159.8,564220,0.0,0,0.914,1.0,12,0,0,0,0.0791,New,0.0,0,1,Upper Middle,564220,1000,4,0,Auto Debit,1,Online Search,1,680018,141713,722
501539,CUST001539,2021,2021-06-20,2022-01-31,Condo,WA,A,98101,40.34,Y,Premium,Frame,Tile,1036,1,29,0,56,0,C,Direct,1300.13,1205.5,91.01,39.0,130.51,319892,0.0,0,0.928,1.0,12,1,0,0,0.0735,New,0.0,1,1,Upper Middle,319892,1000,4,0,Bank Transfer,1,Online Search,1,284673,111039,671
501540,CUST001540,2021,2021-08-21,2022-05-31,Home,TX,A,77001,34.48,N,Premium,Masonry,Metal,1782,1,37,0,50,0,B,Direct,895.01,923.09,62.65,26.85,112.28,258009,0.0,0,1.023,1.0,12,1,1,0,0.1178,New,0.0,1,1,Upper Middle,258009,1000,4,0,Bank Transfer,1,Social Media,1,279307,93287,721
501541,CUST001541,2021,2021-11-01,2021-11-30,Home,WA,D,98501,19.78,N,Standard,Masonry,Tile,1972,1,31,1,23,0,D,Direct,2197.98,2295.59,153.86,65.94,170.91,497665,0.0,0,1.024,1.0,12,0,0,0,0.0713,New,0.0,1,1,Middle,497665,1000,4,0,Credit Card,5,Partner Referral,5,613378,61941,543
501542,CUST001542,2021,2021-11-21,2022-01-31,Rental,TX,A,73301,50.16,Y,Standard,Mixed,Shingle,1608,1,37,1,56,1,C,Direct,1279.64,1171.76,89.57,38.39,129.58,235395,0.0,0,0.909,1.0,12,0,0,0,0.1077,New,0.0,1,1,Upper Middle,235395,5000,3,0,Auto Debit,0,Agent Referral,7,234302,115595,677
501543,CUST001543,2021,2021-02-07,2021-02-28,Home,WA,C,98501,29.76,N,Standard,Mixed,Shingle,2327,2,0,0,46,0,A,Independent,2142.14,1939.88,149.95,257.06,168.4,702306,0.0,0,0.906,1.0,12,0,0,0,0.0454,New,0.0,0,1,Upper Middle,702306,500,4,0,Auto Debit,0,Online Search,5,841292,126229,746
501544,CUST001544,2021,2021-02-03,2021-04-30,Home,NY,B,14604,12.35,N,Standard,Masonry,Metal,2283,1,19,1,36,1,C,Broker,3136.36,3146.8,219.54,470.45,213.14,992700,65653.73,2,1.011,1.0,12,0,1,1,0.1077,New,63813.73,0,1,Upper Middle,992700,1000,3,2,Auto Debit,3,Online Search,4,1182204,96502,632
501545,CUST001545,2021,2021-02-17,2021-06-30,Home,FL,C,33301,54.23,Y,Premium,Frame,Tile,1936,1,11,1,47,1,C,Direct,4131.58,3869.38,351.18,123.95,257.92,554502,0.0,0,0.916,1.0,12,0,0,0,0.0782,New,0.0,1,1,Middle,554502,500,4,1,Debit Card,1,Online Search,3,471861,70539,627
501546,CUST001546,2021,2021-10-21,2022-06-30,Home,FL,C,33601,66.29,N,Standard,Frame,Shingle,1755,1,15,1,68,0,B,Online,2477.74,2236.79,210.61,49.55,183.5,373628,8470.09,1,0.92,1.0,12,0,0,0,0.0926,New,6630.09,0,1,Low,373628,2000,4,0,Auto Debit,1,Partner Referral,5,441873,47837,680
501547,CUST001547,2021,2021-11-23,2021-11-30,Home,FL,C,32801,46.72,Y,Standard,Masonry,Tile,1307,3,29,1,48,0,D,Online,2114.79,2099.36,179.76,42.3,167.17,245178,0.0,0,0.992,1.0,12,0,0,0,0.079,New,0.0,1,1,Low,245178,1000,5,0,Debit Card,1,Aggregator,6,249755,45675,587
501548,CUST001548,2021,2021-12-12,2022-09-30,Home,TX,B,79901,24.47,N,Basic,Masonry,Tile,2945,2,17,1,37,1,C,Broker,1230.95,1279.93,86.17,184.64,127.39,318838,0.0,0,1.046,1.0,12,0,1,0,0.1032,New,0.0,1,1,Middle,318838,1000,4,0,Bank Transfer,2,Agent Referral,8,460420,82498,676
501549,CUST001549,2021,2021-06-14,2021-06-30,Condo,WA,C,98501,26.09,Y,Premium,Frame,Tile,1298,1,10,1,43,1,D,Independent,1961.77,2002.46,137.32,235.41,160.28,450786,0.0,0,1.001,1.0,12,1,1,0,0.0945,New,0.0,1,1,Middle,450786,1000,4,0,Auto Debit,0,Agent Referral,7,426358,62938,547
501550,CUST001550,2021,2021-02-16,2021-06-30,Rental,CA,A,90001,65.13,N,Basic,Mixed,Shingle,1809,1,31,0,34,0,C,Direct,3131.6,2909.53,219.21,93.95,212.92,471844,0.0,0,0.971,1.0,12,0,0,0,0.1061,New,0.0,1,1,Middle,471844,2500,4,1,Auto Debit,1,Aggregator,1,695200,73873,638
501551,CUST001551,2021,2021-07-14,2021-07-31,Home,FL,B,32801,43.98,N,Standard,Mixed,Tile,2169,1,22,1,37,1,D,Direct,4220.05,4179.96,358.7,126.6,261.9,494225,0.0,0,1.004,1.0,12,1,0,1,0.0602,New,0.0,0,1,Middle,494225,1000,4,1,Credit Card,8,Agent Referral,8,596360,57979,615
501552,CUST001552,2021,2021-01-14,2021-03-31,Condo,WA,B,98004,31.17,N,Standard,Mixed,Shingle,1471,1,30,1,43,0,B,Direct,1211.32,1186.7,84.79,36.34,126.51,365715,0.0,0,1.001,1.0,12,0,0,0,0.0785,New,0.0,1,1,Upper Middle,365715,500,4,0,Bank Transfer,0,Agent Referral,2,441572,101561,715
501553,CUST001553,2021,2021-11-12,2022-01-31,Home,TX,B,79901,16.79,N,Premium,Mixed,Tile,1643,2,0,0,47,0,C,Independent,1049.91,1001.07,73.49,125.99,119.25,302448,0.0,0,0.954,1.0,12,0,0,0,0.0706,New,0.0,1,1,Middle,302448,5000,4,0,Bank Transfer,1,Online Search,10,320700,79328,663
501554,CUST001554,2021,2021-09-09,2022-01-31,Home,FL,C,33301,48.38,Y,Basic,Masonry,Tile,2220,2,35,0,25,0,B,Broker,2947.59,2855.61,250.54,442.14,204.64,470711,0.0,0,0.958,1.0,12,1,1,0,0.1031,New,0.0,0,1,Upper Middle,470711,500,5,0,Bank Transfer,0,Online Search,2,577448,95706,715
501555,CUST001555,2021,2021-12-27,2022-07-31,Home,TX,B,79901,30.39,N,Standard,Mixed,Tile,1609,1,26,1,59,0,B,Online,807.04,815.08,56.49,16.14,108.32,224691,0.0,0,1.019,1.0,12,0,0,0,0.0939,New,0.0,1,1,Low,224691,5000,5,1,Auto Debit,0,Social Media,8,276176,38019,682
501556,CUST001556,2021,2021-01-11,2021-11-30,Rental,NY,C,14604,35.32,Y,Standard,Masonry,Shingle,2577,1,49,0,51,0,A,Online,3730.84,3833.16,261.16,74.62,239.89,1015588,0.0,0,0.998,1.0,12,0,0,0,0.0673,New,0.0,1,1,High,1015588,1000,3,0,Auto Debit,0,Online Search,4,1045870,184446,767
501557,CUST001557,2021,2021-09-09,2021-10-31,Home,FL,C,33601,63.44,N,Standard,Mixed,Shingle,2248,2,39,0,55,1,A,Independent,3030.42,2803.03,257.59,363.65,208.37,458883,21455.34,2,0.954,1.0,12,1,0,0,0.0566,New,18695.34,0,1,High,458883,1500,2,0,Auto Debit,1,Agent Referral,13,554351,181073,785
501558,CUST001558,2021,2021-11-16,2022-05-31,Home,NY,D,10001,46.05,N,Standard,Frame,Shingle,2213,1,46,1,44,0,C,Independent,4259.1,4345.05,298.14,511.09,263.66,870229,0.0,0,0.998,1.0,12,0,0,1,0.0772,New,0.0,1,1,Middle,870229,5000,4,0,Credit Card,8,Aggregator,5,1034777,61409,671
501559,CUST001559,2021,2021-02-09,2021-06-30,Home,CA,A,95814,49.52,N,Standard,Masonry,Metal,2038,1,18,0,72,1,B,Online,3652.94,3629.91,255.71,73.06,236.38,769608,0.0,0,1.008,1.0,12,0,0,0,0.0617,New,0.0,1,1,Middle,769608,1000,4,0,Bank Transfer,2,Agent Referral,3,913508,66222,723
501560,CUST001560,2021,2021-11-22,2021-12-31,Condo,WA,B,99201,23.2,N,Basic,Frame,Tile,1286,1,39,1,43,1,C,Broker,978.29,966.3,68.48,146.74,116.02,259716,0.0,0,0.995,1.0,12,0,0,1,0.0471,New,0.0,1,1,Low,259716,500,4,1,Credit Card,3,Agent Referral,11,363741,48691,629
